rounds,p_data,p_meas,shots,num_failures,failure_rate,stderr,experiment
3,0.001,0.001,100000,5,5e-05,2.2360120751015635e-05,equal_noise_round_sweep
5,0.001,0.001,100000,9,9e-05,2.9998649969623634e-05,equal_noise_round_sweep
7,0.001,0.001,100000,10,0.0001,3.162119542332326e-05,equal_noise_round_sweep
5,0.0,0.001,100000,0,0.0,0.0,isolated_noise
5,0.001,0.0,100000,3,3e-05,1.732024826611905e-05,isolated_noise
3,0.0005,0.0005,100000,1,1e-05,9.999949999874999e-06,equal_noise_p_sweep
3,0.001,0.001,100000,2,2e-05,1.4141994201667599e-05,equal_noise_p_sweep
3,0.002,0.002,100000,13,0.00013,3.605316907013862e-05,equal_noise_p_sweep
3,0.005,0.005,100000,68,0.00068,8.243407062616766e-05,equal_noise_p_sweep
5,0.0005,0.0005,100000,3,3e-05,1.732024826611905e-05,equal_noise_p_sweep
5,0.001,0.001,100000,9,9e-05,2.9998649969623634e-05,equal_noise_p_sweep
5,0.002,0.002,100000,33,0.00033,5.743614715490586e-05,equal_noise_p_sweep
5,0.005,0.005,100000,203,0.00203,0.00014233337978141318,equal_noise_p_sweep
7,0.0005,0.0005,100000,1,1e-05,9.999949999874999e-06,equal_noise_p_sweep
7,0.001,0.001,100000,20,0.0002,4.4716887190411634e-05,equal_noise_p_sweep
7,0.002,0.002,100000,64,0.00064,7.997439590268876e-05,equal_noise_p_sweep
7,0.005,0.005,100000,320,0.0032,0.00017859899215841058,equal_noise_p_sweep
